item1,item2,item3,frequency
Protección Social: MDS,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,Subsidio Eléctrico: Subsecretaría de Evaluación Social,300
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,Instituto Seguridad Laboral: Instituto Seguridad Laboral,undefinedSII: Servicio de Impuestos Internos,298
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,FONASA - Portal Beneficiario: Fondo Nacional de Salud,Registro Civil: SRCeI,284
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,undefinedSII: Servicio de Impuestos Internos,www.sii.cl: Servicio de Impuestos Internos,281
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,FONASA - Portal Beneficiario: Fondo Nacional de Salud,Instituto Seguridad Laboral: Instituto Seguridad Laboral,265
Autenticacion Nube  Privada: Servicio de Impuestos Internos,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",undefinedSII: Servicio de Impuestos Internos,260
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,PJUD: PODER JUDICIAL,258
ChileAtiende: Instituto de Previsión Social,Subsidio Familiar Automático: Subsecretaría de Evaluación Social,miChileAtiende: Instituto de Previsión Social,239
Bitácora Web: Ministerio Público,Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,230
Autenticacion Nube  Privada: Servicio de Impuestos Internos,Autenticación TGR: Servicio de Tesorerías,www.sii.cl: Servicio de Impuestos Internos,227
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,Subsidio Eléctrico: Subsecretaría de Evaluación Social,undefinedSII: Servicio de Impuestos Internos,226
Sistema de Registro: Subsecretaría de Evaluación Social,Subsidio Familiar Automático: Subsecretaría de Evaluación Social,miChileAtiende: Instituto de Previsión Social,223
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,Subsidio Eléctrico: Subsecretaría de Evaluación Social,220
Acceso Clave Unica UFRO: Universidad de La Frontera,Carrera Docente CPEIP: Subsecretaría de Educación,Recursos de Reposición: Subsecretaría de Educación,214
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,FONASA - Portal Beneficiario: Fondo Nacional de Salud,undefinedSII: Servicio de Impuestos Internos,209
Registro Civil: SRCeI,undefinedSII: Servicio de Impuestos Internos,www.sii.cl: Servicio de Impuestos Internos,208
Comisaría Virtual: Carabineros de Chile,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Portal Servel: Servicio Electoral,207
Bitácora Web: Ministerio Público,Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,202
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,196
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,Portal Servel: Servicio Electoral,196
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,PJUD: PODER JUDICIAL,Resultados Subsidio Eléctrico: Subsecretaría de Energía,174
Autenticacion Nube  Privada: Servicio de Impuestos Internos,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,www.sii.cl: Servicio de Impuestos Internos,169
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,Subsidio Familiar Automático: Subsecretaría de Evaluación Social,miChileAtiende: Instituto de Previsión Social,169
Registro Civil: SRCeI,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,Subsidio Eléctrico: Subsecretaría de Evaluación Social,162
Bono Logro Escolar: Subsecretaría de Servicios Sociales,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,miChileAtiende: Instituto de Previsión Social,153
ChileAtiende: Instituto de Previsión Social,Protección Social: MDS,miChileAtiende: Instituto de Previsión Social,153
IPS - persona: Instituto de Previsión Social,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,miChileAtiende: Instituto de Previsión Social,135
ChileAtiende: Instituto de Previsión Social,Resultados Subsidio Eléctrico: Subsecretaría de Energía,Subsidio Eléctrico: Subsecretaría de Evaluación Social,128
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,Plataforma de Capacitación Censo: Instituto Nacional de Estadísticas,undefinedSII: Servicio de Impuestos Internos,124
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,Registro Civil: SRCeI,118
Devolución de Pagos en excesos: Fondo Nacional de Salud,FONASA - Portal Beneficiario: Fondo Nacional de Salud,PJUD: PODER JUDICIAL,117
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Instituto Seguridad Laboral: Instituto Seguridad Laboral,undefinedSII: Servicio de Impuestos Internos,114
Autenticacion Nube  Privada: Servicio de Impuestos Internos,PJUD: PODER JUDICIAL,www.sii.cl: Servicio de Impuestos Internos,113
Candidaturas: servicio electoral,Contraloria General de la Republica: CONTRALORIA,Registro Civil: SRCeI,112
Portal de Aplicaciones Sence: Servicio Nacional de Capacitacion y Empleo,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,Subsidio Eléctrico: Subsecretaría de Evaluación Social,108
PJUD: PODER JUDICIAL,bcm2.sii.cl: Servicio de Impuestos Internos,undefinedSII: Servicio de Impuestos Internos,102
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,PJUD: PODER JUDICIAL,undefinedCMF: Comisión para el Mercado Financiero,101
PJUD: PODER JUDICIAL,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,undefinedCMF: Comisión para el Mercado Financiero,101
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Registro Civil: SRCeI,undefinedSII: Servicio de Impuestos Internos,70
Instituto Seguridad Laboral: Instituto Seguridad Laboral,Registro Civil: SRCeI,undefinedSII: Servicio de Impuestos Internos,70
Acceso Clave Unica UFRO: Universidad de La Frontera,Carrera Docente CPEIP: Subsecretaría de Educación,Portal Docente Parvularia: Subsecretaría de Educación,68
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",68
Autenticación TGR: Servicio de Tesorerías,Mi Crédito CAE: Comisión Administradora del Sistema de Créditos para Estudios Superiores,undefinedSII: Servicio de Impuestos Internos,67
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,Registro Civil: SRCeI,66
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Instituto Seguridad Laboral: Instituto Seguridad Laboral,Registro Civil: SRCeI,64
ChileAtiende: Instituto de Previsión Social,Contrataciones Censo 2024: Instituto Nacional de Estadísticas,Registro Civil: SRCeI,63
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,FONASA - Portal Beneficiario: Fondo Nacional de Salud,Plataforma de Capacitación Censo: Instituto Nacional de Estadísticas,63
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,Instituto Seguridad Laboral: Instituto Seguridad Laboral,Plataforma de Capacitación Censo: Instituto Nacional de Estadísticas,59
Devolución de Pagos en excesos: Fondo Nacional de Salud,FONASA - Portal Beneficiario: Fondo Nacional de Salud,undefinedCMF: Comisión para el Mercado Financiero,59
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,Resultados Subsidio Eléctrico: Subsecretaría de Energía,miChileAtiende: Instituto de Previsión Social,57
IPS - persona: Instituto de Previsión Social,Protección Social: MDS,miChileAtiende: Instituto de Previsión Social,55
Mercado+Público: Dirección de Compras y Contratación Pública,undefinedSII: Servicio de Impuestos Internos,www.sii.cl: Servicio de Impuestos Internos,55
Autenticación TGR: Servicio de Tesorerías,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",undefinedSII: Servicio de Impuestos Internos,54
ChileAtiende: Instituto de Previsión Social,Subsidio Eléctrico: Subsecretaría de Evaluación Social,miChileAtiende: Instituto de Previsión Social,53
FONASA - Portal Beneficiario: Fondo Nacional de Salud,undefinedSII: Servicio de Impuestos Internos,www.sii.cl: Servicio de Impuestos Internos,53
Autenticacion Nube  Privada: Servicio de Impuestos Internos,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,undefinedSII: Servicio de Impuestos Internos,51
ChileAtiende: Instituto de Previsión Social,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,miChileAtiende: Instituto de Previsión Social,51
Devolución de Pagos en excesos: Fondo Nacional de Salud,FONASA - Portal Beneficiario: Fondo Nacional de Salud,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,51
PJUD: PODER JUDICIAL,Resultados Subsidio Eléctrico: Subsecretaría de Energía,miChileAtiende: Instituto de Previsión Social,51
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,Subsidio Eléctrico: Subsecretaría de Evaluación Social,undefinedCMF: Comisión para el Mercado Financiero,51
Autenticacion Nube  Privada: Servicio de Impuestos Internos,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",www.sii.cl: Servicio de Impuestos Internos,50
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,PJUD: PODER JUDICIAL,50
PJUD: PODER JUDICIAL,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",50
PJUD: PODER JUDICIAL,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,undefinedSII: Servicio de Impuestos Internos,50
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Registro Civil: SRCeI,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,50
bcm2.sii.cl: Servicio de Impuestos Internos,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",undefinedSII: Servicio de Impuestos Internos,50
